English,Translation
Where can I buy a ticket?,আমি টিকিট কোথা থেকে কিনতে পারব?
Who are you running from?,আপনি কার কাছ থেকে পালাচ্ছেন?
Why don't you just leave?,তুমি চলে যাচ্ছ না কেন?
Why not go to the movies?,সিনেমা দেখতে যাবেন না কেন?
You all need to help Tom.,তোমাদের টমকে সাহায্য করতে হবে।
"You can dance, can't you?","আপনি নাচতে পারেন, তাই না?"
"You can dance, can't you?","তুমি নাচতে পার, তাই না?"
You can eat all you want.,আপনি যত ইচ্ছে তত খেতে পারেন।
You can eat all you want.,তুমি যত ইচ্ছে তত খেতে পা্রো।
You can eat all you want.,আপনারা যত ইচ্ছে তত খেতে পারেন।
You can eat all you want.,তোমরা যত ইচ্ছে তত খেতে পারো।
You can't lift the piano.,তুমি পিয়ানোটা তুলতে পারবে না।
You can't lift the piano.,আপনি পিয়ানোটা তুলতে পারবেন না।
You don't have any proof.,তোমার কাছে কোনো প্রমাণ নেই।
"You like rain, don't you?","আপনি বৃষ্টি পছন্দ করেন, তাই না?"
Your book is on the desk.,তোমার বই ডেস্কের উপর রয়েছে।
Your book is on the desk.,আপনার বই ডেস্কের উপর রয়েছে।
A horse can run very fast.,ঘোড়া খুব দ্রুত দৌড়াতে পারে।
A year has already passed.,ইতিমধ্যে এক বছর পেরিয়ে গেছে।
All's well that ends well.,"শেষ ভালো যার, সব ভালো তার।"
Are we eating out tonight?,আমরা কি আজ বাইরে খাবো?
Are you married or single?,আপনি বিবাহিত না কি অবিবাহিত?
Can you get my bill ready?,আপনি কি আমার বিলটা তৈরি রাখতে পারবেন?
Can you recommend a hotel?,আপনি কোনো হোটেল সুপারিশ করতে পারবেন?
Could you show Tom around?,তুমি কি টমকে চারপাশটা দেখিয়ে আনতে পারবে?
Could you show Tom around?,আপনি কি টমকে চারপাশটা দেখিয়ে আনতে পারবেন?
Did you get Tom's message?,তুমি কি টমের বার্তাটা পেয়েছো?
Did you get Tom's message?,আপনি কি টমের বার্তাটা পেয়েছেন?
Do you have a bigger bowl?,আপনার কাছে কি আরো বড় বাটি আছে?
Do you have a larger size?,আপনার কাছে কি আরো বড় মাপের কিছু আছে?
Do you have any vacancies?,আপনাদের কি ঘর খালি আছে?
Do you have your passport?,আপনার কাছে কি আপনার পাসপোর্টটা আছে?
Do you take me for a fool?,আপনি কি আমাকে বোকা মনে করেন?
Does Tom know you're here?,টম কি জানে যে তুমি এখানে?
